pgpid,description
919,"Legal document in which Tobias ha-Levi b. Sahl undertakes to work in a glass factory on the bellows for a year for wages of 5 dirhams plus 1 dirham lunch. The factory belongs to Eli b. Shelomo ha-Kohen and Tobias, Tiban b. Yeshu'a ha-Kohen. February-March 1057. VMR"
920,"Power of attorney from the court of Daniel b. Azarya (1051-1062) in Ramla, 1368/October 1056."
921,Writ of agency written in Banias.
922,"Fragmentary record detailing how a father was compelled by the court to pay his daughter one dinar per month for her baby boy, for eighteen months. Whether the daughter was widowed or divorced is not specified. Summer, 1065. (S. D. Goitein, Mediterranean Society, 3:247, 481) EMS"
923,"Testimony concerning a tarika (inheritance) of two women recorded at the court of Avraham b. Ishaq, Ab 1389/July 1078."
924,"Writ of agency written in Tripoli, Lebanon, May 1081."
925,"Court record from 1015 concerning a woman in Ramla appointing a representative to sue her Damascene husband who had disappeared two years earlier without leaving her anything. She was prepared to renew their common life, or else demand a divorce, with all the payments involved, including the cost of maintenance for two years. (S. D. Goitein, Mediterranean Society, 3:198-9, 314, 375, 468) EMS"
926,"Contract by which an attar (druggist) rents a ground floor and a mezzanine of a house in (New) Cairo for eight years, undertaking renovations worth 40 dinars; the house belongs to Sitt al-Ahl b. Ibrahim, known as 'ibnat bint al-Wuhsha,' one of the signatories is Avraham b. Natan (the judge? 1150-1181) and the contract is drawn in Fustat, Ab 1461/July 27, 1150."
927,"Court archive describing a working woman (an unraveler of silk) from Tyre, Lebanon who possessed a house and was able to pay a bill of twelve dinars over the course of several years, yet claimed in court to be bankrupt and too poor to even buy bread; dated 1091. (S. D. Goitein, Mediterranean Society, 1:128, 430; 2:602; 5:88, 530) EMS"
928,"Legal document involving a man from Alexandria and signed by ʿAmram the banker son of Ezra, Head of the Congregation, the Alexandrian', issued in Fustat, Ab 1404/July 1093."
929,"Legal document concerning the dissolution of a partnership, issued in Fustat by the rabbinical court, and bearing nine signatures including that of Elhanan b. Shemarya (d. 1025), in the month of Tishri 1328/1016."
930,"Document describing a Damascene husband who had settled in Jerusalem and went bankrupt in Ramla, and who was being sued by his Egyptian wife. Her attorney, appointed in Fustat, was to extract alimony from him for the year of desertion, twenty dinars as delayed marriage gift, and a bill of divorce. Summer, 1024. (S. D. Goitein, Mediterranean Society, 3:199, 468) EMS"
931,"Deathbed will of Khalaf b. Yeshu'a, mentioning the lepers in Tiberias, Elul 1345/August 1034."
932,"End of a legal deed; only the date and signatures are preserved. Nine signatures, Nisan 1041. (Information from Goitein's index cards) EMS"
933,Document dated Adar 1377/February 1066.
946,"Order of payment from Ascalon to Fustat, August-September 1116."
958,"Legal document in which Sar Shalom, son of Rabana Yosef, affirms that he collected his debt from the daughter of Rabbi Nahum in 1344 ED/ 12 Dec. 1032 in Zoar near the Dead Sea."
996,Court record.
997,"Legal document concerning a partnership written by the scribe Hillel b. Eli, Ab 1414/July 1103."
998,"Legal document with testimony from Sitt bt. Yosef b. ‘Amram and her mother Jamila bt. Yaqub describing that Yosef (the former’s father and latter’s husband) left 50 dinars with Abu al-Bishr Azhar, whose heirs claim that he gave 157 silver dirhams to Yosef. The remaining amount of 12 and one-dinars is then paid out. The document is signed by Hayya al-Kohen b. Yeshua ha-Kohen and Avraham b. Aharon he-haver; dated Tammuz 1415 of the Seleucid era. EMS"
999,"Official confirmation at court of a debt of 60 dinars contracted three months earlier before a notary, Ab 1417/ July 1106."
1000,"Court record describing a married woman depositing part of her jewelry as collateral for a debt incurred by her brother, written on the reverse of the woman’s ketubba (marriage contract), as clearly stated: “The court entered the deposition of these objects on the back of her ketubba.” Mentions an individual named Sitt Baghdad; from the early twelfth century. (S. D. Goitein, Mediterranean Society, 3:113, 449; 4:430) EMS"
1001,"Iqrar ('acknowledgment') document stipulating a term of three months for the repayment of a sum of 10 dinars and noting that repayment is to entered on the reverse side, Iyyar 1418/April 1107."
1002,"The widow of Abu al-Fadl Sela b. 'Amram arranges with his bride Mubaraka bt. Shelomo ha-Kohen that she agrees to live with his son in the same apartment and to eat with him at the same table. In the case the son marries, she promises to be like a sister to his future wife. In the case her husband dies, she has no right to live in the house. Elul 1112, Wednesday, September 4, 1112. (Information from Goitein's index cards) VMR"
1003,"Testimony in which a wife, a widow with three sons, releases her husband from from all obligations other than paying the delayed marriage gift and dowry and letting her live in his house for five years after his death as promised, and declares that her three sons would have no claims whatsoever against him and that her husband would not sue her sons, in Sanbutya/Sunbat, Adar 1427/February 1116."
1004,"Al-Asad b. Abu al-Faraj al-Sayrafi known as Ben Numan receives a loan of 1580 (the half 790) dirhams from al-Muwaffaq b. Nusayr of which 180 will be paid back after one month and then 30 dirhams every month (at its end). Mirs, November 1337. Verso: note concerning al-Muwaffaq, 1326 Nov./Dec., Tevet. (Information from Goitein's index cards) VMR"
1005,"Legal document [[written in Damietta and validated in Fustat in the court of the synagogue of the Palestinians, which describes itself as acting on behalf of the High Court of the Yeshiva of Jerusalem which had now moved to Cairo]](??). Nissan 1448/March 1137."
1006,"Court record concerning the posthumous settlement of the affairs of a merchant who had sold partnership goods from Tripoli, Lebanon, in the various 'houses of the wukala' in Fustat, and had died leaving behind him two sons, Tammuz 1405/July 1094."
1007,"Sitt al-Baha bt. Eliyya, the bride of Abu l-Ḥasan, receives on the day of her qiddushin from Abu Kathir b. Yahya 18 1/2 dinars deposited wth him. (Information from Goitein's index cards) VMR"
1008,"Legal document connected with the tax-farmer of Atfih, drawn in Fustat under the authority of Shelomo, Adar 1450/February 1139."
1009,"Court minute, in the hand of Natan b. Shemuel Ha-Ḥaver, Fustat."
1010,"Betrothal record from 1093 in which the obligatory betrothal gift is 4 and one/sixth dinars. The document also stipulates the daughter receives the uppermost floor of a house; if she preferred to live elsewhere, she would receive rent, but her father and his heirs were responsible for the payment of the ground rent and watchman. Signed by Eli ha-Kohen b. Yahya, Avraham b. Yiṣḥaq (the Scholar), and Ezekiel II ha-Kohen he-Ḥaver b. Eli he-Ḥaver I. (S. D. Goitein, Mediterranean Society, 2:522, 3:445, 4:96, 374) EMS"
1011,"Court record bearing the signature of judge Shelomo b. Yosef, late Head of the court of the Academy,' Fustat, Kislev 1405/December 1093."
1012,"Formulary for ‘wakala’ (guardianship), mostly in Aramaic. Copied in the hand of Hillel. (Information from Goitein's index cards.) EMS. CUDL description: Verso: copy of a template of appointment of guardianship (apotropos) originally composed in the hand of Hillel נזר החזנים."
1013,"Fragment of a record of evidence by Eviatar ha-Kohen who was called by the name of God, the son of Gaon and the grandson of Gaon. The witnesses are Yehuda b. Shabat and Ula haLevi b. Yosef. (ca. 1100, according to Cambridge). VMR (Lines in Arabic were not included in Goitein's text)"
1014,"Record detailing the action of a court in Fustat in preparing a claim to an estate in Aleppo, made by a man residing in Fustat. The man’s uncle was from Aleppo and died in Akko; having never been married, his heirs included two brothers and this nephew from a deceased third brother. Three competent witnesses in Fustat attested to the nephew’s claim. From winter, 1099-1100, signed by Perahya b. Arah, who calls himself here ‘ha-melammed’ (teacher). (S. D. Goitein, Mediterranean Society, 3:61, 288-9, 440, 445) EMS"
1015,"Memorandum of testimony concerning the legacy of a certain Isma'il al-'Azazi al-Halabi, who died in Acre, written in Fustat, Kislev 1411/November 1099."
1029,"Recto: Statute for tenants of the Qodesh. Dating: ca. 1215 (according to Gil, but his handwriting comparison may not be sound, and this document could be as late as ca. 1300). The document preserves a number of conditions imposed upon the lessees of the qodesh. It proclaims 1) a ban (herem) against anyone who defaults on the monthly payment, for any reason whatsoever. Therefore, exactly as one would beg money for food, one should do so, if necessary, in order to pay rent. 2) The ban will also operate also on anyone who does not accept the amount of the rent as established by three Jews, the muqawwimin. 3) The lessee is obliged to present his deeds of lease whenever asked to do so in the name of the waqf. 4) The ban will also be applied to anybody making use of a Muslim's intervention in order to obtain a lodging in the houses of the qodesh or a reduction of rent imposed on him. (Information from Gil, Documents, pp. 411 #112.) On verso there is a Hebrew poem in the hand of Nāṣir al-Adīb al-ʿIbrī (d. after 1298)."
1039,Recto: Acknowledgment of debt. Lender: Abū l-ʿAlā al-Ṣabbāgh (the dyer) b. Abū Saʿd. Borrower: Abu ʿImrān ʿAmram ha-Levi ha-Talmid. Verso: Records of completed payments. (Information from CUDL.) VMR
1041,"Legal document. Deathbed will of the wife of a scholar, ca. probably 1151. A personal record of an anonymous writer, apparently a member of the court. Together with four other people he was called to attend the deathbed declaration of Sitt al-Husn, the wife of Judge Natan b. Shemuʾel ha-Ḥaver, ""the Diadem of the Scholars."" Since it was a Saturday, the official report could not be written, and the writer noted the main parts of the declaration immediately after Saturday was over, in order not to forget it. He was probably a court clerk, since his record contains the main formal elements of a regular deed. The woman frees her two female slaves and bequeaths them a quarter of a compound belonging to her, and dedicates half the compound in which the declaration is given to the qodesh. The two female slaves can live in the room in which the declaration is given, provided they keep the Jewish faith. An eighth of another compound partly owned by her is to be sold to cover the expenses ofher burial. She also states which of her belongings should be given to her husband. (Information from Gil, Documents, pp. 270 #55)"
